"link","argentino","otro_pais"
60912211,451,13
60912212,373,17
60912213,906,57
60912214,571,24
60912215,1440,49
60912216,1491,47
60912217,757,6
60912301,947,32
60912302,1066,41
60912303,794,17
60912304,1302,41
60912305,669,24
60912306,1264,74
60912307,652,37
60912308,764,20
60912309,590,38
60912310,1523,92
60912311,1200,33
60912312,671,19
60912313,597,24
60912314,1868,26
60912315,690,183
60912316,339,16
60912317,479,20
60912318,189,15
60912319,239,22
60912401,691,17
60912402,719,49
60912403,1037,90
60912404,1430,121
60912405,946,215
60912406,819,75
60912407,419,32
60912408,394,34
60912409,295,19
60912410,835,11
60912411,901,33
60912412,483,143
60912413,394,253
62600101,1372,320
62600102,1113,174
62600103,892,190
62600104,451,370
62600105,309,653
62600106,1432,548
62600107,1056,249
62600108,1342,199
62600109,1299,131
62600110,1176,497
62600111,530,495
62600112,916,696
62600113,657,376
62600114,1116,234
62600115,1011,130
62600116,806,385
62600117,1437,227
62600118,573,65
62600119,1322,193
62600201,1621,605
62600202,1405,451
62600203,1467,413
62600204,1275,326
62600205,1685,369
62600206,828,528
62600207,886,741
62600208,221,18
62600209,1474,235
62600210,1271,144
62600211,1157,331
62600212,1096,350
62600213,878,391
62600214,1029,285
62600215,1343,225
62600216,1150,235
62600301,1402,890
62600302,921,120
62600303,1250,152
62600304,1654,525
62600305,1437,120
62600306,992,135
62600307,1072,310
62600308,1010,208
62600309,678,163
62600310,1742,44
62600311,1867,36
62600312,1947,41
62600313,1796,42
62600314,903,105
62600315,887,138
62600316,1408,141
62600317,1274,99
62600318,1192,78
62600319,1027,96
62600401,889,59
62600402,1277,76
62600403,1163,63
62600404,1106,61
62600405,999,51
62600406,1127,63
62600407,978,34
62600408,1137,50
62600409,1012,60
62600410,700,26
62600411,747,26
62600412,1044,72
62600501,1213,60
62600502,1104,112
62600503,763,87
62600504,1204,108
62600505,1243,191
62600506,1497,180
62600507,1058,166
62600508,559,43
62600509,1290,69
62600510,945,80
62600511,1541,87
62600512,1099,148
62600513,1361,101
62600514,1451,39
62600515,1201,101
62600516,821,38
62600517,881,35
62600601,1306,53
62600602,893,37
62600603,972,31
62600604,1239,57
62600605,1192,58
62600606,671,21
62600607,853,22
62600608,742,25
62600609,721,31
62600610,600,17
62600611,689,32
62600612,957,36
62600613,975,58
62600614,932,59
62600615,821,52
62600616,1103,53
62600701,1384,66
62600702,1015,68
62600703,1162,69
62600704,929,42
62600705,797,44
62600706,1067,52
62600707,1103,60
62600708,783,40
62600709,876,38
62600710,1253,53
62600711,921,56
62600712,772,55
62600713,799,54
62600801,1288,49
62600802,1425,190
62600803,1172,112
62600804,1611,159
62600805,1092,96
62600806,1227,53
62600807,1046,32
62600808,1215,71
62600809,1113,55
62600810,893,25
62600811,1389,125
62600812,1453,113
62600813,1516,72
62600814,995,47
62600901,1151,70
62600902,1132,60
62600903,1670,181
62600904,1563,172
62600905,1139,101
62600906,326,13
62600907,1396,74
62600908,1475,127
62600909,804,56
62600910,1296,71
62600911,1494,102
62600912,1084,115
62600913,1564,79
62600914,1047,35
62601001,1197,67
62601002,916,75
62601003,1115,58
62601004,929,49
62601005,394,8
62601006,3510,151
62601007,1308,52
62601008,1141,61
62601009,811,58
62601010,790,95
62601011,1136,66
62601012,1038,42
62601013,1572,67
62601014,1013,44
62601015,483,19
62601101,255,18
62601102,425,19
62601103,904,48
62601104,885,55
62601105,805,57
62601106,497,32
62601107,1101,75
62601108,1001,66
62601109,1139,35
62601110,1244,61
62601201,739,47
62601202,540,19
62601203,402,26
62601204,809,43
62601205,1161,66
62601206,1008,58
62601207,630,45
62601208,848,64
62601209,819,42
62601210,636,31
62601211,928,20
62601212,1213,48
62601301,727,41
62601302,1240,106
62601303,960,63
62601304,930,61
62601305,1274,54
62601306,952,62
62601307,1094,90
62601308,1023,51
62601309,1037,41
62601310,655,42
62601311,628,56
62601312,360,24
62601313,554,34
62601314,389,37
62601401,1141,72
62601402,875,42
62601403,824,45
62601404,661,17
62601405,1108,58
62601406,1193,70
62601407,846,52
62601408,1270,62
62601409,1219,60
62601410,1253,63
62601411,1103,67
62601412,690,35
62601413,899,83
62601501,1642,85
62601502,1169,65
62601503,675,51
62601504,860,44
62601505,1198,74
62601506,1132,60
62601507,1064,62
62601508,999,120
62601509,1438,164
62601510,1650,221
62601511,1656,125
62601512,918,101
62601513,1173,81
62601514,914,62
62601515,1154,44
62601516,1206,62
62601517,1786,85
62601518,1600,111
62601519,1102,57
62601601,1393,63
62601602,1102,33
62601603,1470,90
62601604,1006,106
62601605,1272,54
62601606,1316,56
62601607,1500,99
62601608,458,42
62601609,1184,135
62601610,1074,64
62601611,1195,127
62601612,1309,66
62601613,1155,34
62601614,1688,105
62601615,1599,72
62601616,1192,85
62601617,1361,130
62601701,657,977
62601702,65,4
62601703,2055,1332
62601704,979,42
62601705,210,9
62601706,1673,77
62601707,195,9
62601708,734,20
62601709,260,32
62601710,303,10
62601711,286,15
62601712,376,13
62601713,2217,103
62601714,162,7
62700101,626,19
62700102,614,15
62700103,2589,571
62700104,1271,147
62700105,443,23
62700106,677,63
62700201,1770,211
62700202,933,65
62700203,911,67
62700204,980,58
62700205,891,26
62700206,1386,70
62700207,1354,60
62700208,1813,139
62700209,1705,133
62700210,1508,74
62700211,1567,114
62700212,1555,87
62700213,986,117
62700214,933,100
62700215,802,255
62700216,1260,79
62700217,1347,86
62700301,804,36
62700302,911,54
62700303,1553,156
62700304,1810,127
62700305,1590,63
62700306,1266,87
62700307,888,43
62700308,1232,62
62700309,1416,92
62700310,1285,110
62700311,1091,39
62700312,1339,42
62700313,838,18
62700314,854,20
62700315,687,44
62700316,777,27
62700401,541,36
62700402,812,79
62700403,983,34
62700404,1254,54
62700405,1293,144
62700406,1583,115
62700407,998,48
62700408,519,32
62700409,1140,62
62700410,1161,73
62700411,1692,89
62700412,1175,53
62700413,1215,49
62700414,1229,55
62700501,912,29
62700502,881,44
62700503,1028,40
62700504,1735,145
62700505,1442,64
62700506,1414,42
62700507,1249,51
62700508,1544,77
62700509,20,20
62700510,1513,43
62700511,765,48
62700512,688,70
62700601,776,247
62700602,514,31
62700603,284,20
62700604,443,34
62700605,1114,112
62700606,1244,297
62700607,1352,172
62700608,1310,198
62700609,1113,168
62700610,1723,507
62700611,1256,298
62700612,383,15
62700613,325,21
62700614,810,40
62700615,665,66
62700616,1132,246
62700617,1524,333
62700701,959,52
62700702,786,40
62700703,1126,84
62700704,579,45
62700705,1202,68
62700706,833,193
62700707,1409,57
62700708,684,23
62700709,732,26
62700710,685,34
62700711,1344,108
62700712,1689,228
62700713,1000,92
62700714,1122,54
62700715,935,60
62700716,1094,250
62700717,1330,187
62700718,1522,389
62700719,1183,455
62700801,231,6
62700802,112,10
62700803,227,8
62700804,53,5
62700805,144,12
62700806,82,14
62700807,204,16
62700808,1265,80
62700809,977,67
62700810,901,105
62700811,1053,75
62700812,63,12
62700813,173,8
62700814,356,34
62700815,556,13
62700816,679,31
62700817,128,7
62700901,2007,606
62700902,1390,124
62700903,1054,102
62700904,875,32
62700905,1051,80
62700906,1346,62
62700907,704,51
62700908,720,29
62700909,1581,87
62700910,1348,38
62700911,784,35
62700912,944,28
62700913,1013,60
62701001,1170,58
62701002,2084,265
62701003,2290,153
62701004,1675,85
62701005,1329,56
62701006,1342,80
